DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Logistics,2/2/2019,45.52,38.37,39.7
IT,2/2/2019,19.16,77.43,34.6
Finance,3/2/2019,56.95,41.36,37.4
Logistics,3/2/2019,47.46,39.71,39.7
IT,3/2/2019,21.17,77.57,34.9
Finance,4/2/2019,56.91,43.38,37.6
Logistics,4/2/2019,48.76,39.63,39.6
IT,4/2/2019,20.21,77.08,34.8
Finance,5/2/2019,56.77,42.28,37.6
Logistics,5/2/2019,47.33,39.56,39.7
IT,5/2/2019,20.94,75.87,34.9
Finance,6/2/2019,56.43,41.18,37.8
Logistics,6/2/2019,46.08,39.04,39.6
IT,6/2/2019,19.46,74.7,34.8
Finance,7/2/2019,55.65,42.52,38
Logistics,7/2/2019,46.88,38.2,39.6
IT,7/2/2019,20.34,73.31,35.1
Finance,8/2/2019,53.67,41.03,38.1
Logistics,8/2/2019,46.21,38.04,39.6
IT,8/2/2019,18.51,74.69,35.1
Finance,9/2/2019,53.47,41.83,38.3
Logistics,9/2/2019,45.31,38.24,39.9
IT,9/2/2019,19.58,73.76,35.4
Finance,10/2/2019,53.03,42.08,38.4
Logistics,10/2/2019,46.47,39.33,39.8
IT,10/2/2019,20.45,72.66,35.7
Finance,11/2/2019,54.63,40.18,38.4
Logistics,11/2/2019,45.5,39.12,40
IT,11/2/2019,19.81,71.92,35.7
Finance,12/2/2019,56.57,39.96,38.5
Logistics,12/2/2019,44.68,38.35,40.3
IT,12/2/2019,19.43,73.96,36
Finance,13/2/2019,55.63,41.94,38.7
Logistics,13/2/2019,43.64,36.96,40.4
IT,13/2/2019,21.22,74.83,36.1
Finance,14/2/2019,54.42,41.72,38.6
Logistics,14/2/2019,44.97,36.89,40.3
IT,14/2/2019,19.33,75.22,36.3
Finance,15/2/2019,54.32,39.96,38.6
Logistics,15/2/2019,45.63,35.6,40.3
IT,15/2/2019,17.35,74.17,36.6
Finance,16/2/2019,55.8,41.91,38.6
Logistics,16/2/2019,46.17,35.51,40.3
IT,16/2/2019,17.32,73.45,36.6
Finance,17/2/2019,55.73,41.98,38.5
Logistics,17/2/2019,45.72,35.7,40.2
IT,17/2/2019,15.46,72.09,36.6
Finance,18/2/2019,56.79,42.94,38.7
Logistics,18/2/2019,44.17,36.15,40.4
IT,18/2/2019,17.39,70.48,36.6
Finance,19/2/2019,58.33,43,38.8
Logistics,19/2/2019,42.6,34.4,40.4
IT,19/2/2019,16.83,68.71,36.9
Finance,20/2/2019,59.89,44.19,39
Logistics,20/2/2019,43.76,32.72,40.6
IT,20/2/2019,16.75,70.13,37
Finance,21/2/2019,60.05,42.38,39
Logistics,21/2/2019,42.39,33.84,40.8
IT,21/2/2019,15.31,68.63,37.3
Finance,22/2/2019,58.56,44.22,39.3
Logistics,22/2/2019,43.25,34.2,40.7
IT,22/2/2019,15.29,70.4,37.5
Finance,23/2/2019,58.81,43.12,39.6
Logistics,23/2/2019,43.63,35.34,40.6
IT,23/2/2019,13.72,71.27,37.7
Finance,24/2/2019,58.94,42.39,39.7
Logistics,24/2/2019,44.38,35.69,40.9
IT,24/2/2019,14.95,73.35,37.8
Finance,25/2/2019,58.13,43.14,39.6
Logistics,25/2/2019,44.56,37.01,41
IT,25/2/2019,15.8,71.8,37.9
Finance,26/2/2019,57.22,42.13,39.5
Logistics,26/2/2019,44.51,36.83,41.3
IT,26/2/2019,13.9,69.91,37.8
Finance,27/2/2019,55.55,41.1,39.5
Logistics,27/2/2019,45.74,37.33,41.3
IT,27/2/2019,15.85,68.57,38.1
Finance,28/2/2019,54.61,39.25,39.5
Logistics,28/2/2019,44.72,37.73,41.3
IT,28/2/2019,16.94,70.01,38
Finance,1/3/2019,55.81,37.7,39.7
Logistics,1/3/2019,43.56,38.25,41.4
IT,1/3/2019,16.83,71.32,37.9
Finance,2/3/2019,57.17,37.08,39.8
Logistics,2/3/2019,43.39,38.53,41.4
IT,2/3/2019,18.6,71.31,37.9
Finance,3/3/2019,56.22,38.35,40.1
Logistics,3/3/2019,44.11,40.46,41.3
IT,3/3/2019,20.39,73.32,37.9
Finance,4/3/2019,56.61,38.91,40.3
Logistics,4/3/2019,42.41,40.94,41.4
IT,4/3/2019,20.53,73.32,38.1
Finance,5/3/2019,58.42,37.35,40.3
Logistics,5/3/2019,42.35,41.29,41.3
IT,5/3/2019,21.36,73.1,38
Finance,6/3/2019,59.64,35.46,40.6
Logistics,6/3/2019,42.15,39.63,41.5
IT,6/3/2019,22.19,72.57,38.3
Finance,7/3/2019,58.02,36.57,40.6
Logistics,7/3/2019,40.52,39.08,41.5
IT,7/3/2019,23.68,71.1,38.4
Finance,8/3/2019,58.8,36.96,40.7
Logistics,8/3/2019,38.75,38.37,41.4
IT,8/3/2019,22.59,69.85,38.5
Finance,9/3/2019,59.05,35.82,40.7
Logistics,9/3/2019,39.32,37.2,41.3
IT,9/3/2019,21.19,69.41,38.8
Finance,10/3/2019,57.4,35.77,41
Logistics,10/3/2019,40.31,35.5,41.4
IT,10/3/2019,22.82,68.5,39.1
Finance,11/3/2019,56.69,36.21,41.1
Logistics,11/3/2019,41.86,36.71,41.4
IT,11/3/2019,24.2,70.09,39.3
Finance,12/3/2019,57.18,37.18,41.1
Logistics,12/3/2019,40.95,37.62,41.6
IT,12/3/2019,25.26,70.32,39.3
Finance,13/3/2019,56.26,38.09,41.1
Logistics,13/3/2019,40.33,37.75,41.9
IT,13/3/2019,25.6,72.05,39.4
Finance,14/3/2019,55.09,40.19,41
Logistics,14/3/2019,39.99,38.81,42
IT,14/3/2019,24.47,74.03,39.5
Finance,15/3/2019,57.01,42.13,41
Logistics,15/3/2019,39.21,37.24,42.3
IT,15/3/2019,23.67,72.23,39.7
Finance,16/3/2019,57.71,42.85,41.1
Logistics,16/3/2019,37.7,38.19,42.3
IT,16/3/2019,23.38,71.41,39.6
Finance,17/3/2019,56.74,43.78,41
Logistics,17/3/2019,36.75,38.06,42.6
IT,17/3/2019,23.23,70.9,39.9
Finance,18/3/2019,56.24,45.08,41.2
Logistics,18/3/2019,37.32,37.02,42.5
IT,18/3/2019,23.84,72.52,39.8
Finance,19/3/2019,54.78,45.53,41.3
Logistics,19/3/2019,36.84,37.75,42.5
IT,19/3/2019,22.95,72.9,40
Finance,20/3/2019,55.43,46.07,41.3
Logistics,20/3/2019,34.97,37.61,42.7
IT,20/3/2019,23.63,74.99,40
Finance,21/3/2019,54.19,46.45,41.5
Logistics,21/3/2019,33.51,37.63,42.9
IT,21/3/2019,23.18,73.39,40.2
Finance,22/3/2019,54.65,44.45,41.4
Logistics,22/3/2019,33.87,39.43,43
IT,22/3/2019,23.22,74.31,40.2
Finance,23/3/2019,56.25,42.54,41.7
Logistics,23/3/2019,34.14,40.36,43.3
IT,23/3/2019,22.87,74.14,40.2
Finance,24/3/2019,57.41,43.22,41.9
Logistics,24/3/2019,35.02,40.81,43.3
IT,24/3/2019,22.82,73.89,40.3
Finance,25/3/2019,55.5,43.62,41.9
Logistics,25/3/2019,33.92,40.74,43.2
IT,25/3/2019,23.51,74.32,40.3
Finance,26/3/2019,55.17,43.14,42.1
Logistics,26/3/2019,35.34,42.45,43.3
IT,26/3/2019,22.24,72.41,40.5
Finance,27/3/2019,55.98,42.34,42.2
Logistics,27/3/2019,37.06,42.49,43.5
IT,27/3/2019,23.49,71.72,40.5
Finance,28/3/2019,55.99,41.79,42.1
Logistics,28/3/2019,35.34,43.98,43.4
IT,28/3/2019,21.97,73.48,40.6
Finance,29/3/2019,54.01,39.86,42.1
Logistics,29/3/2019,36.9,45.9,43.3
IT,29/3/2019,22.91,72.21,40.7
Finance,30/3/2019,55.13,40.55,42.4
Logistics,30/3/2019,37.53,47.69,43.5
IT,30/3/2019,22.5,72.85,40.8
Finance,31/3/2019,53.32,38.72,42.4
Logistics,31/3/2019,37.63,45.97,43.5
IT,31/3/2019,23.95,73.07,40.8
Finance,1/4/2019,54.21,39.17,42.3
Logistics,1/4/2019,37.06,45.11,43.7
IT,1/4/2019,23.08,72.65,41
Finance,2/4/2019,53.85,40.33,42.5
Logistics,2/4/2019,38.07,43.68,43.9
IT,2/4/2019,23.34,70.93,41.2
Finance,3/4/2019,54.45,41.56,42.5
Logistics,3/4/2019,39.23,42.06,43.8
IT,3/4/2019,24.35,71.65,41.1
Finance,4/4/2019,52.96,39.81,42.5
Logistics,4/4/2019,38.13,42.95,43.8
IT,4/4/2019,26.44,73.57,41.4
Finance,5/4/2019,51.98,41.63,42.7
Logistics,5/4/2019,38.31,44.57,44
IT,5/4/2019,25.07,72.95,41.6
Finance,6/4/2019,52.14,42.15,42.7
Logistics,6/4/2019,39.47,44.83,44.1
IT,6/4/2019,23.22,74.02,41.9
Finance,7/4/2019,53.17,44.16,42.7
Logistics,7/4/2019,39.24,44.96,44.3
IT,7/4/2019,22.3,72.09,42
Finance,8/4/2019,54.42,42.44,42.7
Logistics,8/4/2019,40.77,45.34,44.3
IT,8/4/2019,20.32,70.73,42.3
Finance,9/4/2019,53.94,43.43,42.7
Logistics,9/4/2019,42.74,45.76,44.5
IT,9/4/2019,21.79,68.79,42.3
Finance,10/4/2019,55.33,45.12,42.6
Logistics,10/4/2019,40.75,47.46,44.8
IT,10/4/2019,22.07,67.93,42.4
Finance,11/4/2019,55.08,45.54,42.6
Logistics,11/4/2019,40.26,49.38,44.9
IT,11/4/2019,22.52,67.04,42.7
Finance,12/4/2019,54.98,45.41,42.7
Logistics,12/4/2019,41.37,48.64,45.1
IT,12/4/2019,24.2,68.18,43
Finance,13/4/2019,55.06,46.96,42.8
Logistics,13/4/2019,41.97,50.74,45.4
IT,13/4/2019,25.21,68.97,43.2
Finance,14/4/2019,53.5,48.79,42.9
Logistics,14/4/2019,40.86,50.02,45.3
IT,14/4/2019,24.69,68.92,43.2
Finance,15/4/2019,52.85,47.84,43
Logistics,15/4/2019,40.7,49.66,45.6
IT,15/4/2019,23.11,68.79,43.2
Finance,16/4/2019,52.66,45.86,43.1
Logistics,16/4/2019,38.72,48.92,45.7
IT,16/4/2019,21.54,70.32,43.3
Finance,17/4/2019,50.92,45.76,43
Logistics,17/4/2019,40.03,47.61,45.6
IT,17/4/2019,20.51,69.5,43.4
Finance,18/4/2019,52.66,44.15,43.3
Logistics,18/4/2019,41.35,47.16,45.9
IT,18/4/2019,20.43,69.46,43.4
Finance,19/4/2019,52.91,45.25,43.6
Logistics,19/4/2019,42.8,48.57,46
IT,19/4/2019,21.62,67.95,43.4
Finance,20/4/2019,51.92,46.74,43.9
Logistics,20/4/2019,40.81,48.56,46.3
IT,20/4/2019,20.46,66.86,43.6
Finance,21/4/2019,52.63,47.47,43.8
Logistics,21/4/2019,41.38,49.08,46.5
IT,21/4/2019,21.02,67.86,43.8
Finance,22/4/2019,52.69,46.41,43.7
Logistics,22/4/2019,43.36,49.25,46.4
IT,22/4/2019,20.06,66.59,43.8
Finance,23/4/2019,53.12,45.91,43.6
Logistics,23/4/2019,42.97,47.47,46.3
IT,23/4/2019,22.04,66.45,43.7
Finance,24/4/2019,51.67,47.79,43.6
Logistics,24/4/2019,44.25,46.26,46.3
IT,24/4/2019,20.55,67.56,43.9
Finance,25/4/2019,50.32,47.01,43.6
Logistics,25/4/2019,44.47,47.93,46.3
IT,25/4/2019,21.18,66.31,43.9
Finance,26/4/2019,52,48.28,43.7
Logistics,26/4/2019,43.84,45.94,46.6
IT,26/4/2019,20.66,66.34,44
Finance,27/4/2019,50.48,46.77,43.7
Logistics,27/4/2019,44.57,46.19,46.8
IT,27/4/2019,20.69,67.29,44
Finance,28/4/2019,48.99,46.7,43.8
Logistics,28/4/2019,45.34,44.39,47.1
IT,28/4/2019,22.42,67.73,44.1
Finance,29/4/2019,49,47.96,43.8
Logistics,29/4/2019,43.76,44.54,47.3
IT,29/4/2019,21.84,67.51,44.2
Finance,30/4/2019,47.74,48.23,43.7
Logistics,30/4/2019,42.69,42.93,47.4
IT,30/4/2019,21.62,68.65,44.2
Finance,1/5/2019,48.39,49.63,44
Logistics,1/5/2019,40.77,42.81,47.3
IT,1/5/2019,20.4,70.19,44.4
Finance,2/5/2019,49.84,48.64,43.9
Logistics,2/5/2019,41.04,44.5,47.5
IT,2/5/2019,21.65,70.49,44.3
Finance,3/5/2019,50.7,46.74,43.9
Logistics,3/5/2019,41.35,44.12,47.8
IT,3/5/2019,23.19,69.78,44.2
Finance,4/5/2019,51.42,46.95,43.8
Logistics,4/5/2019,40.76,42.91,47.8
IT,4/5/2019,22.57,68.22,44.2
Finance,5/5/2019,52.6,48.53,43.8
Logistics,5/5/2019,40.09,40.96,48.1
IT,5/5/2019,22.6,67.86,44.5
Finance,6/5/2019,51.08,49.09,43.9
Logistics,6/5/2019,40.36,38.99,48.2
IT,6/5/2019,21.56,66.72,44.5
Finance,7/5/2019,52.72,49.43,44
Logistics,7/5/2019,40,38.15,48.1
IT,7/5/2019,20.92,65.75,44.5
Finance,8/5/2019,50.85,48.25,44.2
Logistics,8/5/2019,38.68,37.81,48.4
IT,8/5/2019,21.28,65.67,44.8
Finance,9/5/2019,49.58,49.13,44.2
Logistics,9/5/2019,39.71,37.9,48.5
IT,9/5/2019,19.62,63.77,45.1
Finance,10/5/2019,50.54,49.06,44.2
Logistics,10/5/2019,41.57,37.08,48.4
IT,10/5/2019,17.89,62.38,45.3
Finance,11/5/2019,51.28,49.21,44.3
Logistics,11/5/2019,41.18,36.53,48.6
IT,11/5/2019,17.59,60.4,45.6
Finance,12/5/2019,51.44,48.68,44.2
Logistics,12/5/2019,39.19,38.6,48.9
IT,12/5/2019,18.17,61.78,45.9
Finance,13/5/2019,51.32,50.42,44.5
Logistics,13/5/2019,38.6,37.12,49
IT,13/5/2019,18.01,63.88,45.9
Finance,14/5/2019,52.42,49.41,44.6
Logistics,14/5/2019,40.61,35.4,49.3
IT,14/5/2019,19.92,64.15,46.1
Finance,15/5/2019,52.79,47.81,44.5
Logistics,15/5/2019,38.95,33.88,49.5
IT,15/5/2019,18.78,63.76,46.2
Finance,16/5/2019,51.04,47.02,44.4
Logistics,16/5/2019,38.06,35.28,49.4
IT,16/5/2019,16.93,63.67,46.5
Finance,17/5/2019,50.4,48.48,44.6
Logistics,17/5/2019,37.59,33.4,49.6
IT,17/5/2019,17.59,64.53,46.7
Finance,18/5/2019,51.02,47.47,44.9
Logistics,18/5/2019,35.65,35.39,49.6
IT,18/5/2019,19.04,62.75,46.6
Finance,19/5/2019,49.49,45.83,45.2
Logistics,19/5/2019,35.44,36.91,49.6
IT,19/5/2019,20.1,61.34,46.7
Finance,20/5/2019,48.34,46.28,45.4
Logistics,20/5/2019,34.89,36.62,49.7
IT,20/5/2019,18.29,61.31,46.6
Finance,21/5/2019,48.3,48.16,45.5
Logistics,21/5/2019,36.12,37.39,49.7
IT,21/5/2019,17.8,62.96,46.9
Finance,22/5/2019,48.22,49.68,45.6
Logistics,22/5/2019,35.95,37.32,49.8
IT,22/5/2019,16.02,63.42,46.9
Finance,23/5/2019,49.97,51.16,45.6
Logistics,23/5/2019,35.48,38.29,50
IT,23/5/2019,16.16,62.09,47
Finance,24/5/2019,49.31,52.47,45.6
Logistics,24/5/2019,35.38,39.81,50.3
IT,24/5/2019,16.93,60.34,47.2
Finance,25/5/2019,50.4,52.05,45.6
Logistics,25/5/2019,34.07,40.9,50.3
IT,25/5/2019,18.81,58.9,47.4
Finance,26/5/2019,52.25,51.33,45.7
Logistics,26/5/2019,34.76,40.53,50.4
IT,26/5/2019,20.42,58.66,47.3
Finance,27/5/2019,53.71,51.7,45.9
Logistics,27/5/2019,33.9,41.58,50.6
IT,27/5/2019,21.28,59.48,47.4
Finance,28/5/2019,55.15,53.28,45.9
Logistics,28/5/2019,33.13,40.22,50.7
IT,28/5/2019,19.31,59.65,47.4
Finance,29/5/2019,53.75,51.8,46
Logistics,29/5/2019,33.23,38.68,50.6
IT,29/5/2019,20.71,59.88,47.6
Finance,30/5/2019,54.94,50.77,46.3
Logistics,30/5/2019,32.45,38.14,50.5
IT,30/5/2019,21.9,58.89,47.9
Finance,31/5/2019,56.17,50.92,46.5
Logistics,31/5/2019,33.37,39.22,50.7
IT,31/5/2019,22.02,59.24,48.2
Finance,1/6/2019,55.12,50.7,46.7
Logistics,1/6/2019,32.06,40.26,50.7
IT,1/6/2019,21.86,58.63,48.1
Finance,2/6/2019,56.17,51.54,46.6
Logistics,2/6/2019,33.57,40.07,50.6
IT,2/6/2019,23.68,60.46,48.1
Finance,3/6/2019,55.34,50.83,46.5
Logistics,3/6/2019,33.05,41.82,50.7
IT,3/6/2019,25.07,60.55,48.3
Finance,4/6/2019,54.73,50.3,46.6
Logistics,4/6/2019,34.8,41.15,51
IT,4/6/2019,25.64,59.45,48.4
Finance,5/6/2019,56.14,51.82,46.7
Logistics,5/6/2019,33.81,40.28,50.9
IT,5/6/2019,26.4,60.57,48.3
Finance,6/6/2019,55.04,50.86,46.6
Logistics,6/6/2019,31.97,39.04,51.2
IT,6/6/2019,26,59.61,48.3
Finance,7/6/2019,53.79,48.98,46.8
Logistics,7/6/2019,31.09,40.95,51.1
IT,7/6/2019,25.27,61.29,48.2
Finance,8/6/2019,54.02,49.2,46.7
Logistics,8/6/2019,31.82,40.9,51.2
IT,8/6/2019,26.54,62.73,48.4
Finance,9/6/2019,52.36,50.22,46.8
Logistics,9/6/2019,32.29,42.24,51.4
IT,9/6/2019,27.86,62.47,48.3
Finance,10/6/2019,52.95,48.58,46.9
Logistics,10/6/2019,32.35,42.87,51.4
IT,10/6/2019,25.88,60.97,48.6
Finance,11/6/2019,52.25,48.8,47.1
Logistics,11/6/2019,31.15,44.87,51.7
IT,11/6/2019,27.88,59.02,48.8
Finance,12/6/2019,51,50.75,47.4
Logistics,12/6/2019,32.69,46.06,52
IT,12/6/2019,28.76,61.11,48.7
Finance,13/6/2019,52.82,49.28,47.3
Logistics,13/6/2019,31.5,47.05,52.2
IT,13/6/2019,28.59,61.96,48.8
Finance,14/6/2019,54.91,49.61,47.4
Logistics,14/6/2019,33.28,48.74,52.5
IT,14/6/2019,26.67,61.77,48.9
Finance,15/6/2019,55.39,51.24,47.6
Logistics,15/6/2019,34.42,47.4,52.8
IT,15/6/2019,25.66,62.35,49
Finance,16/6/2019,57.01,49.65,47.6
Logistics,16/6/2019,36.36,46.39,52.7
IT,16/6/2019,26.32,64.35,48.9
Finance,17/6/2019,58.87,50.27,47.8
Logistics,17/6/2019,35.35,47.27,52.8
IT,17/6/2019,27.05,66.37,48.8
Finance,18/6/2019,59.32,49.73,48
Logistics,18/6/2019,35.03,48.42,52.9
IT,18/6/2019,28.75,65.35,48.8
Finance,19/6/2019,59.05,50.45,48.3
Logistics,19/6/2019,33.89,47.9,53.2
IT,19/6/2019,28.66,66.09,49
Finance,20/6/2019,57.58,48.71,48.5
Logistics,20/6/2019,35.35,46.34,53.1
IT,20/6/2019,28.25,65.17,49.2
Finance,21/6/2019,56.96,47.49,48.7
Logistics,21/6/2019,33.7,46.2,53.1
IT,21/6/2019,28.58,65.66,49.1
Finance,22/6/2019,56.95,46.12,48.7
Logistics,22/6/2019,35.18,46.51,53.2
IT,22/6/2019,28.09,63.86,49.3
Finance,23/6/2019,57.92,45.9,48.8
Logistics,23/6/2019,35.13,48.61,53.2
IT,23/6/2019,30.03,65.11,49.3
Finance,24/6/2019,55.92,45.13,48.8
Logistics,24/6/2019,35.88,50.47,53.2
IT,24/6/2019,28.34,66.62,49.4
Finance,25/6/2019,53.92,45.04,49.1
Logistics,25/6/2019,37.2,50.86,53.2
IT,25/6/2019,26.61,67.5,49.5
Finance,26/6/2019,55.65,44.01,49.1
Logistics,26/6/2019,38.96,51.98,53.5
IT,26/6/2019,28.17,69.27,49.6
Finance,27/6/2019,55.15,43.74,49.1
Logistics,27/6/2019,38,50.65,53.4
IT,27/6/2019,26.29,67.73,49.9
Finance,28/6/2019,56.51,43.87,49.1
Logistics,28/6/2019,37.67,49.08,53.7
IT,28/6/2019,28.21,68.12,49.8
Finance,29/6/2019,58.56,45.32,49.2
Logistics,29/6/2019,36.09,49.26,53.8
IT,29/6/2019,27.77,66.62,49.8
Finance,30/6/2019,58.57,43.43,49.1
Logistics,30/6/2019,35.17,49.8,53.8
IT,30/6/2019,27.6,66.96,49.7
Finance,1/7/2019,56.62,42.39,49.4
Logistics,1/7/2019,35.54,51.52,54
IT,1/7/2019,28.78,68.17,49.6
Finance,2/7/2019,55.29,42.04,49.3
Logistics,2/7/2019,37.44,52.97,54.1
IT,2/7/2019,27.94,68.58,49.5
Finance,3/7/2019,57.03,44.1,49.5
Logistics,3/7/2019,37.17,52.85,54.4
IT,3/7/2019,28.99,70.15,49.8
Finance,4/7/2019,58.58,42.22,49.7
Logistics,4/7/2019,38.41,53.95,54.5
IT,4/7/2019,29.73,69,49.8
Finance,5/7/2019,58.99,42.11,49.7
Logistics,5/7/2019,40.2,55.62,54.8
IT,5/7/2019,28.09,67.43,49.7
Finance,6/7/2019,58.84,43.35,50
Logistics,6/7/2019,39.1,54.69,54.9
IT,6/7/2019,29.56,65.94,49.8
Finance,7/7/2019,59.3,43.89,49.9
Logistics,7/7/2019,37.95,54.18,55.1
IT,7/7/2019,29.6,67.02,50.1
Finance,8/7/2019,58.95,45.78,50.2
Logistics,8/7/2019,39.5,53.08,55.1
IT,8/7/2019,28.74,66.19,50.3
Finance,9/7/2019,59.18,44.58,50.2
Logistics,9/7/2019,41.52,53.82,55
IT,9/7/2019,29.22,65.73,50.2
Finance,10/7/2019,58.45,43.09,50.1
Logistics,10/7/2019,42.96,54.75,55.2
IT,10/7/2019,30.77,66.02,50.4
Finance,11/7/2019,59.44,44.98,50.2
Logistics,11/7/2019,44.39,56.06,55.4
IT,11/7/2019,30.66,66.12,50.5
Finance,12/7/2019,59.83,45.92,50.5
Logistics,12/7/2019,45.87,54.42,55.3
IT,12/7/2019,31.96,67.94,50.5
Finance,13/7/2019,60.57,45.16,50.6
Logistics,13/7/2019,43.92,53.65,55.6
IT,13/7/2019,32.17,67.14,50.8
Finance,14/7/2019,61.42,43.19,50.9
Logistics,14/7/2019,44.2,54.52,55.7
IT,14/7/2019,33.59,65.99,51
Finance,15/7/2019,62.94,43.24,51.2
Logistics,15/7/2019,43.84,53.02,56
IT,15/7/2019,32.96,67.69,51.1
Finance,16/7/2019,61.79,44.95,51.5
Logistics,16/7/2019,41.98,53.33,55.9
IT,16/7/2019,31.09,68.96,51
Finance,17/7/2019,62.02,45.11,51.7
Logistics,17/7/2019,42.33,52.54,55.9
IT,17/7/2019,29.18,70.14,50.9
Finance,18/7/2019,60.36,45.72,51.9
Logistics,18/7/2019,40.94,52.56,56.2
IT,18/7/2019,27.89,71.68,50.8
Finance,19/7/2019,58.82,46.31,51.8
Logistics,19/7/2019,40.78,50.85,56.2
IT,19/7/2019,28.38,71.49,50.8
Finance,20/7/2019,59.27,47.8,51.9
Logistics,20/7/2019,39.52,51.46,56.4
IT,20/7/2019,26.69,72.07,50.8
Finance,21/7/2019,58.9,49.36,52.1
Logistics,21/7/2019,39.32,52.93,56.7
IT,21/7/2019,26.02,70.21,50.9
Finance,22/7/2019,59.73,50.85,52.3
Logistics,22/7/2019,37.49,54.27,56.9
IT,22/7/2019,26.2,70.44,50.8
Finance,23/7/2019,60.47,49.22,52.4
