DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,12/2/2018,14.02,21.57,5.3
Logistics,12/2/2018,33.12,20.75,4.3
IT,12/2/2018,30.98,39.25,5.2
Finance,13/2/2018,13.25,20.76,5.6
Logistics,13/2/2018,33.4,19.85,4.4
IT,13/2/2018,30.12,39.14,5.1
Finance,14/2/2018,11.98,20.47,5.8
Logistics,14/2/2018,34.71,18.84,4.7
IT,14/2/2018,28.27,38.5,5
Finance,15/2/2018,13.18,22.48,6
Logistics,15/2/2018,35.51,18.36,4.9
IT,15/2/2018,27.09,39.81,5.1
Finance,16/2/2018,14.9,21.37,6.3
Logistics,16/2/2018,36.31,17.37,5.1
IT,16/2/2018,26.27,41.88,5.4
Finance,17/2/2018,13.8,21.78,6.4
Logistics,17/2/2018,36.94,16.74,5.1
IT,17/2/2018,26.94,41.94,5.7
Finance,18/2/2018,13.45,20.21,6.5
Logistics,18/2/2018,38.22,15.05,5
IT,18/2/2018,25.66,43.99,5.7
Finance,19/2/2018,12.77,20.37,6.5
Logistics,19/2/2018,37.04,15.5,5.1
IT,19/2/2018,25.99,42.48,6
Finance,20/2/2018,11.48,22.14,6.6
Logistics,20/2/2018,37.16,16.72,5.3
IT,20/2/2018,25.23,42.32,6.3
Finance,21/2/2018,13.54,21.35,6.8
Logistics,21/2/2018,38.81,15.63,5.5
IT,21/2/2018,26.65,44.01,6.2
Finance,22/2/2018,15.06,22.96,6.8
Logistics,22/2/2018,40.19,15.16,5.8
IT,22/2/2018,25.99,45.34,6.1
Finance,23/2/2018,15.94,23.34,6.7
Logistics,23/2/2018,41.22,16.66,5.9
IT,23/2/2018,26.92,45.24,6
Finance,24/2/2018,17.48,22.26,6.8
Logistics,24/2/2018,43.18,18.08,6.1
IT,24/2/2018,26.58,43.27,6.1
Finance,25/2/2018,17.13,21.66,6.8
Logistics,25/2/2018,41.79,19.84,6.1
IT,25/2/2018,26.11,45.29,6
Finance,26/2/2018,18.7,21.9,7.1
Logistics,26/2/2018,43.5,20,6.3
IT,26/2/2018,26.79,46.07,6
Finance,27/2/2018,18.15,23.83,7.2
Logistics,27/2/2018,44.02,19.59,6.4
IT,27/2/2018,25.11,44.44,5.9
Finance,28/2/2018,17.87,24.02,7.2
Logistics,28/2/2018,42.48,21.17,6.6
IT,28/2/2018,26.36,45.13,6.1
Finance,1/3/2018,18.42,25.23,7.4
Logistics,1/3/2018,42.87,21.65,6.6
IT,1/3/2018,24.43,46.45,6.1
Finance,2/3/2018,19.88,27.33,7.6
Logistics,2/3/2018,42.85,22.61,6.5
IT,2/3/2018,23.54,44.98,6.4
Finance,3/3/2018,19.45,29.21,7.7
Logistics,3/3/2018,43.03,24,6.8
IT,3/3/2018,23.24,45.04,6.7
Finance,4/3/2018,21.54,30.45,7.6
Logistics,4/3/2018,43.9,25.24,7.1
IT,4/3/2018,23.07,46.3,6.6
Finance,5/3/2018,23.31,30.43,7.7
Logistics,5/3/2018,44.03,26.1,7.1
IT,5/3/2018,24.81,46.51,6.6
Finance,6/3/2018,23.73,32.07,7.6
Logistics,6/3/2018,43.34,26.23,7.3
IT,6/3/2018,22.87,46.67,6.7
Finance,7/3/2018,24.57,30.95,7.5
Logistics,7/3/2018,42.6,27.81,7.3
IT,7/3/2018,23.84,48.2,6.9
Finance,8/3/2018,25.12,29.41,7.7
Logistics,8/3/2018,44.07,26.32,7.3
IT,8/3/2018,24.5,48.51,6.8
Finance,9/3/2018,23.44,29.59,7.6
Logistics,9/3/2018,46.13,26.26,7.3
IT,9/3/2018,24.87,48.9,7.1
Finance,10/3/2018,22.49,28.28,7.8
Logistics,10/3/2018,48.03,25.09,7.3
IT,10/3/2018,25.07,48.57,7.2
Finance,11/3/2018,24.56,29.6,8
Logistics,11/3/2018,49.78,25.86,7.5
IT,11/3/2018,25.62,50.5,7.5
Finance,12/3/2018,23.36,30.45,8.1
Logistics,12/3/2018,48.82,25.32,7.4
IT,12/3/2018,25.24,50.31,7.4
Finance,13/3/2018,25.24,28.97,8
Logistics,13/3/2018,48.39,24.12,7.4
IT,13/3/2018,24.69,48.53,7.4
Finance,14/3/2018,26.23,30.55,8.2
Logistics,14/3/2018,47.99,22.56,7.7
IT,14/3/2018,23.07,48.8,7.6
Finance,15/3/2018,26.43,28.56,8.4
Logistics,15/3/2018,46.11,23.37,7.6
IT,15/3/2018,25.08,48.28,7.6
Finance,16/3/2018,27.42,30.25,8.6
Logistics,16/3/2018,46.71,22.92,7.7
IT,16/3/2018,26.42,46.57,7.8
Finance,17/3/2018,28.93,29.21,8.7
Logistics,17/3/2018,47.74,24.58,7.8
IT,17/3/2018,27.52,46.33,8
Finance,18/3/2018,30.03,27.93,8.8
Logistics,18/3/2018,47.9,26.17,8.1
IT,18/3/2018,27.52,48.16,7.9
Finance,19/3/2018,28.93,29.2,8.8
Logistics,19/3/2018,47.1,24.72,8.2
IT,19/3/2018,25.71,49.28,8
Finance,20/3/2018,27.99,30.33,8.9
Logistics,20/3/2018,45.79,25.15,8.1
IT,20/3/2018,24.61,50.13,8.2
Finance,21/3/2018,27.16,31.27,8.8
Logistics,21/3/2018,44.6,26.2,8.4
IT,21/3/2018,25.31,49.07,8.5
Finance,22/3/2018,27.33,30.51,9.1
Logistics,22/3/2018,45.08,28.04,8.7
IT,22/3/2018,26.71,49.66,8.8
Finance,23/3/2018,29.18,32.45,9
Logistics,23/3/2018,44.17,26.14,8.8
IT,23/3/2018,24.94,51.54,9
Finance,24/3/2018,28.63,31.55,9.2
Logistics,24/3/2018,43.5,26.96,8.7
IT,24/3/2018,25.98,53.43,8.9
Finance,25/3/2018,28.92,31.94,9.2
Logistics,25/3/2018,44.37,26.82,8.8
IT,25/3/2018,24.8,52.69,8.9
Finance,26/3/2018,29.81,30.43,9.2
Logistics,26/3/2018,45.55,27.39,8.8
IT,26/3/2018,25.85,54.54,8.9
Finance,27/3/2018,28.7,29.45,9.4
Logistics,27/3/2018,45.7,25.95,8.7
IT,27/3/2018,27.24,54.61,8.8
Finance,28/3/2018,27.64,27.46,9.7
Logistics,28/3/2018,44.94,24.63,8.7
IT,28/3/2018,26.11,53.76,9
Finance,29/3/2018,27.46,28.94,9.6
Logistics,29/3/2018,43.02,24.11,9
IT,29/3/2018,27.47,53.12,9.3
Finance,30/3/2018,29.5,28.84,9.5
Logistics,30/3/2018,42.09,25.32,9.1
IT,30/3/2018,25.59,53.28,9.4
Finance,31/3/2018,28.22,27.77,9.5
Logistics,31/3/2018,41.23,25.32,9.2
IT,31/3/2018,24.33,51.97,9.3
Finance,1/4/2018,28.9,26.76,9.5
Logistics,1/4/2018,42.31,25.64,9.5
IT,1/4/2018,24.96,51.69,9.3
Finance,2/4/2018,28.66,24.79,9.6
Logistics,2/4/2018,43.68,27.12,9.7
IT,2/4/2018,24.66,50.01,9.2
Finance,3/4/2018,28.82,24.98,9.9
Logistics,3/4/2018,44.35,27.5,9.8
IT,3/4/2018,24.59,49.36,9.3
Finance,4/4/2018,28.35,24.56,9.8
Logistics,4/4/2018,44.68,29.52,9.9
IT,4/4/2018,22.86,51.03,9.2
Finance,5/4/2018,26.84,24.66,10.1
Logistics,5/4/2018,46.41,30.7,10.2
IT,5/4/2018,24.04,52.25,9.4
Finance,6/4/2018,27.51,25.91,10.2
Logistics,6/4/2018,46.77,29.02,10.5
IT,6/4/2018,24.07,53.64,9.3
Finance,7/4/2018,27.46,26.11,10.3
Logistics,7/4/2018,45.79,30.06,10.8
IT,7/4/2018,25.44,53.25,9.2
Finance,8/4/2018,27.18,24.39,10.4
Logistics,8/4/2018,44,29.79,10.9
IT,8/4/2018,24.52,53.72,9.2
Finance,9/4/2018,27.73,24.78,10.5
Logistics,9/4/2018,43.08,28.08,10.8
IT,9/4/2018,26.57,53.92,9.3
Finance,10/4/2018,28.8,23.75,10.4
Logistics,10/4/2018,41.43,28.85,11.1
IT,10/4/2018,25.16,54.04,9.2
Finance,11/4/2018,29.38,24.51,10.4
Logistics,11/4/2018,40.99,29.41,11.4
IT,11/4/2018,26.37,55.54,9.1
Finance,12/4/2018,30.61,24.76,10.6
Logistics,12/4/2018,39.32,30.84,11.5
IT,12/4/2018,26.14,55.21,9.2
Finance,13/4/2018,30.65,25.91,10.6
Logistics,13/4/2018,38.29,30.22,11.6
IT,13/4/2018,26.92,56.24,9.3
Finance,14/4/2018,30.92,26.19,10.5
Logistics,14/4/2018,37.72,30.77,11.6
IT,14/4/2018,27.24,57,9.4
Finance,15/4/2018,29.12,26.56,10.4
Logistics,15/4/2018,39.72,31.82,11.8
IT,15/4/2018,27.64,57.25,9.5
Finance,16/4/2018,29.81,26.03,10.6
Logistics,16/4/2018,39.86,32.6,12.1
IT,16/4/2018,26.22,57.84,9.6
Finance,17/4/2018,29.73,25.38,10.7
Logistics,17/4/2018,38.92,34.5,12.4
IT,17/4/2018,24.3,59.55,9.8
Finance,18/4/2018,31.36,25.33,10.6
Logistics,18/4/2018,39.83,34.27,12.7
IT,18/4/2018,23.54,58.69,9.8
Finance,19/4/2018,32.72,24.31,10.6
Logistics,19/4/2018,41.93,34.81,12.7
IT,19/4/2018,23.48,59.17,10.1
Finance,20/4/2018,33.78,25.13,10.7
Logistics,20/4/2018,42.4,34.85,13
IT,20/4/2018,21.55,58.92,10.2
Finance,21/4/2018,34.52,27.12,10.7
Logistics,21/4/2018,43.69,34.85,12.9
IT,21/4/2018,21.09,59.04,10.1
Finance,22/4/2018,34.57,27.57,10.6
Logistics,22/4/2018,43.15,34.21,13.1
IT,22/4/2018,22.54,58.4,10.4
Finance,23/4/2018,33.23,27.42,10.6
Logistics,23/4/2018,44.92,34.84,13
IT,23/4/2018,21.88,59.9,10.5
Finance,24/4/2018,34.83,28.3,10.9
Logistics,24/4/2018,43.2,35.36,13.1
IT,24/4/2018,21.88,61.58,10.6
Finance,25/4/2018,33.4,26.81,11.1
Logistics,25/4/2018,44.42,34.22,13
IT,25/4/2018,22.51,60.76,10.5
Finance,26/4/2018,31.98,28.59,11.4
Logistics,26/4/2018,45.55,35.33,13.2
IT,26/4/2018,21.98,62.54,10.8
Finance,27/4/2018,30.46,26.87,11.5
Logistics,27/4/2018,43.71,34.76,13.4
IT,27/4/2018,22.24,64.15,10.9
Finance,28/4/2018,30.56,25.12,11.7
Logistics,28/4/2018,45.47,33.19,13.6
IT,28/4/2018,20.59,63.59,10.9
Finance,29/4/2018,29.03,25.21,11.7
Logistics,29/4/2018,45.7,35.19,13.6
IT,29/4/2018,21.83,65.22,11
Finance,30/4/2018,28.85,26.97,11.8
Logistics,30/4/2018,46.76,36.33,13.5
IT,30/4/2018,21.27,64.75,11.2
Finance,1/5/2018,30.93,28.24,11.7
Logistics,1/5/2018,48.84,35.87,13.7
IT,1/5/2018,20.41,65.41,11.4
Finance,2/5/2018,30.13,27.29,11.6
Logistics,2/5/2018,47.46,33.93,14
IT,2/5/2018,19.49,65.43,11.6
Finance,3/5/2018,29.24,28.85,11.6
Logistics,3/5/2018,48.31,35.38,14.1
IT,3/5/2018,21.05,65.89,11.7
Finance,4/5/2018,28.64,30.42,11.6
Logistics,4/5/2018,48.42,34.23,14.2
IT,4/5/2018,19.41,66.1,11.6
Finance,5/5/2018,28.4,29.42,11.5
Logistics,5/5/2018,50.1,35.81,14.3
IT,5/5/2018,19.89,66.6,11.6
Finance,6/5/2018,30.31,27.88,11.6
Logistics,6/5/2018,48.74,37.25,14.4
IT,6/5/2018,18.98,68.23,11.5
Finance,7/5/2018,31.36,26.12,11.7
Logistics,7/5/2018,49.98,38.91,14.6
IT,7/5/2018,19.87,67.15,11.5
Finance,8/5/2018,33.42,24.33,12
Logistics,8/5/2018,51.68,38.63,14.6
IT,8/5/2018,19.65,67.17,11.8
Finance,9/5/2018,32.01,25.1,12.1
Logistics,9/5/2018,53.48,36.63,14.9
IT,9/5/2018,20.76,65.74,12
Finance,10/5/2018,32.44,23.93,12.4
Logistics,10/5/2018,52.1,35.76,14.8
IT,10/5/2018,18.99,65.95,12.3
Finance,11/5/2018,34.1,24.14,12.6
Logistics,11/5/2018,54.04,33.78,15.1
IT,11/5/2018,19.56,65.49,12.6
Finance,12/5/2018,35.69,23.97,12.7
Logistics,12/5/2018,52.95,35.44,15.2
IT,12/5/2018,18.19,66.19,12.7
Finance,13/5/2018,34.44,23.71,12.8
Logistics,13/5/2018,52.85,35.47,15.3
IT,13/5/2018,19.5,65.06,12.7
Finance,14/5/2018,36.09,24.57,13
Logistics,14/5/2018,51.54,35.36,15.5
IT,14/5/2018,20.04,66.46,12.9
Finance,15/5/2018,38.08,25.25,13.3
Logistics,15/5/2018,51.72,36.05,15.4
IT,15/5/2018,18.6,65.86,12.9
Finance,16/5/2018,37.39,24.69,13.2
Logistics,16/5/2018,50.37,35.32,15.5
IT,16/5/2018,18.1,66.8,13.2
Finance,17/5/2018,39.07,25.39,13.2
Logistics,17/5/2018,52.38,37.18,15.8
IT,17/5/2018,19.01,65.54,13.3
Finance,18/5/2018,37.15,27.45,13.1
Logistics,18/5/2018,50.57,38.63,15.9
IT,18/5/2018,18.12,64.63,13.2
Finance,19/5/2018,36.79,27.96,13
Logistics,19/5/2018,51.42,40.54,15.9
IT,19/5/2018,19.99,66.47,13.3
Finance,20/5/2018,37.34,28.72,13
Logistics,20/5/2018,50.26,42.56,16.2
IT,20/5/2018,18.49,66.02,13.6
Finance,21/5/2018,38.49,27.04,13.1
Logistics,21/5/2018,51.85,43.42,16.3
IT,21/5/2018,18.04,64.65,13.6
Finance,22/5/2018,37.87,27.22,13.3
Logistics,22/5/2018,50.85,42.77,16.5
IT,22/5/2018,19.27,64.13,13.6
Finance,23/5/2018,37.01,28.3,13.6
Logistics,23/5/2018,49.3,42.52,16.4
IT,23/5/2018,21.03,64.93,13.5
Finance,24/5/2018,37.28,26.42,13.7
Logistics,24/5/2018,48.66,43.47,16.5
IT,24/5/2018,20.58,66.18,13.6
Finance,25/5/2018,36.58,26.96,13.9
Logistics,25/5/2018,49.87,43.58,16.6
IT,25/5/2018,21.97,66.61,13.7
Finance,26/5/2018,35.21,27.52,14.2
Logistics,26/5/2018,50.83,41.74,16.9
IT,26/5/2018,21.17,67.24,13.6
Finance,27/5/2018,33.44,27.77,14.4
Logistics,27/5/2018,52.61,42.79,16.9
IT,27/5/2018,19.65,68.18,13.9
Finance,28/5/2018,31.64,26.47,14.3
Logistics,28/5/2018,54.66,43.97,17.1
IT,28/5/2018,20.97,69.8,14
Finance,29/5/2018,30.97,26.3,14.4
Logistics,29/5/2018,56.37,42.65,17.1
IT,29/5/2018,22.88,69.73,14.3
Finance,30/5/2018,33.06,25.73,14.5
Logistics,30/5/2018,55.81,41.25,17.4
IT,30/5/2018,23.71,70.33,14.5
Finance,31/5/2018,34.2,24.13,14.4
Logistics,31/5/2018,54.49,39.59,17.4
IT,31/5/2018,24.55,71.43,14.5
Finance,1/6/2018,33.08,23.04,14.7
Logistics,1/6/2018,52.82,39.61,17.4
IT,1/6/2018,24.33,69.87,14.8
Finance,2/6/2018,34.29,21.87,14.6
Logistics,2/6/2018,53.97,38.85,17.7
IT,2/6/2018,23.38,68.86,14.7
Finance,3/6/2018,35.59,21.55,14.5
Logistics,3/6/2018,52.31,40.5,17.7
IT,3/6/2018,24.01,67.85,15
Finance,4/6/2018,36,21.41,14.6
Logistics,4/6/2018,51.57,41.31,17.8
IT,4/6/2018,23.24,69.24,15.1
Finance,5/6/2018,37.12,21.15,14.6
Logistics,5/6/2018,51.11,43.06,18.1
IT,5/6/2018,21.48,67.91,15.2
Finance,6/6/2018,35.9,19.67,14.5
Logistics,6/6/2018,51.33,43.89,18
IT,6/6/2018,22.43,65.93,15.2
Finance,7/6/2018,35.44,21.63,14.4
Logistics,7/6/2018,51.88,43.44,18.1
IT,7/6/2018,20.74,65.38,15.2
Finance,8/6/2018,36.66,21.32,14.3
Logistics,8/6/2018,52.56,42.9,18
IT,8/6/2018,18.88,65.66,15.2
Finance,9/6/2018,37.86,23.29,14.5
Logistics,9/6/2018,54.52,41.1,18
IT,9/6/2018,18.83,66.48,15.5
Finance,10/6/2018,38.68,25.19,14.6
Logistics,10/6/2018,56.57,41.07,18
IT,10/6/2018,17.35,65.76,15.5
Finance,11/6/2018,39.92,26.36,14.8
Logistics,11/6/2018,56.7,42.91,17.9
IT,11/6/2018,15.66,64.52,15.7
Finance,12/6/2018,40.65,25.69,14.9
Logistics,12/6/2018,57.44,43.32,17.8
IT,12/6/2018,14.91,62.63,16
Finance,13/6/2018,39.11,27.54,15.2
Logistics,13/6/2018,56.25,42.39,17.8
IT,13/6/2018,16.37,61.63,16.1
Finance,14/6/2018,39.81,25.94,15.1
Logistics,14/6/2018,57.86,41.03,18.1
IT,14/6/2018,14.49,62.55,16.2
Finance,15/6/2018,38.98,26.92,15.3
Logistics,15/6/2018,58.65,42.67,18.3
IT,15/6/2018,15.32,62.09,16.1
Finance,16/6/2018,38.64,26.79,15.5
Logistics,16/6/2018,59.5,44.16,18.2
IT,16/6/2018,13.59,62.43,16
Finance,17/6/2018,38.48,27.21,15.4
Logistics,17/6/2018,58.26,45.07,18.1
IT,17/6/2018,15.45,60.53,16
Finance,18/6/2018,37.49,27.49,15.4
Logistics,18/6/2018,57.25,45.83,18
IT,18/6/2018,15.55,60.26,16.1
Finance,19/6/2018,37.42,28.79,15.6
Logistics,19/6/2018,55.8,46.53,18
IT,19/6/2018,14.85,60.38,16.4
Finance,20/6/2018,36.28,27.78,15.9
Logistics,20/6/2018,53.84,48.3,18.2
IT,20/6/2018,16.78,59.61,16.7
Finance,21/6/2018,37.31,26.19,15.9
Logistics,21/6/2018,54.57,47.57,18.2
IT,21/6/2018,16.93,59.6,16.8
Finance,22/6/2018,38.82,28.01,15.8
Logistics,22/6/2018,55.77,46.49,18.4
IT,22/6/2018,15.99,60.18,17.1
Finance,23/6/2018,39.5,27.68,16
Logistics,23/6/2018,54.82,46.63,18.5
IT,23/6/2018,14.95,58.82,17.1
Finance,24/6/2018,39.12,27.84,16.1
Logistics,24/6/2018,53.2,48.2,18.8
IT,24/6/2018,13.52,57.6,17.2
Finance,25/6/2018,37.53,28.58,16.3
Logistics,25/6/2018,51.52,48.7,19
IT,25/6/2018,13.35,59.12,17.5
Finance,26/6/2018,37.44,30.44,16.5
Logistics,26/6/2018,49.54,49.43,19.3
IT,26/6/2018,14.54,59.54,17.4
Finance,27/6/2018,39.41,31.21,16.8
Logistics,27/6/2018,50.48,50.1,19.4
IT,27/6/2018,16.44,61.17,17.6
Finance,28/6/2018,38.33,32.09,16.8
Logistics,28/6/2018,52.05,49.58,19.7
IT,28/6/2018,17.03,62.18,17.7
Finance,29/6/2018,38.43,31.86,16.7
Logistics,29/6/2018,51.25,48.58,19.8
IT,29/6/2018,17.96,60.23,17.6
Finance,30/6/2018,38.44,31.07,16.7
Logistics,30/6/2018,50.57,48.08,19.8
IT,30/6/2018,18.82,59.26,17.5
Finance,1/7/2018,36.65,30.87,17
Logistics,1/7/2018,49.55,48.98,19.9
IT,1/7/2018,20.53,59.67,17.5
Finance,2/7/2018,38.51,32.47,17.2
Logistics,2/7/2018,48.52,49.67,19.9
IT,2/7/2018,20.58,60.77,17.8
Finance,3/7/2018,40.24,33.07,17.1
Logistics,3/7/2018,49.34,49.56,20.2
IT,3/7/2018,20.22,62.29,18.1
Finance,4/7/2018,42.01,31.43,17.3
Logistics,4/7/2018,50.06,49.45,20.3
IT,4/7/2018,21.75,61.3,18.2
Finance,5/7/2018,43.44,33.3,17.6
Logistics,5/7/2018,51.19,50.51,20.3
IT,5/7/2018,21.31,59.38,18.2
Finance,6/7/2018,42.56,31.69,17.6
Logistics,6/7/2018,53.08,51.02,20.3
IT,6/7/2018,20.03,60.59,18.4
Finance,7/7/2018,40.91,29.71,17.6
Logistics,7/7/2018,54.38,49.05,20.6
IT,7/7/2018,20.24,62.12,18.4
Finance,8/7/2018,42.45,31.42,17.7
Logistics,8/7/2018,52.43,47.42,20.9
IT,8/7/2018,18.99,60.99,18.7
Finance,9/7/2018,41.66,30.73,18
Logistics,9/7/2018,51.7,45.45,21
IT,9/7/2018,19.14,62.01,18.6
Finance,10/7/2018,41.54,30.23,18.1
Logistics,10/7/2018,51.63,45.27,21.3
IT,10/7/2018,19.01,62.81,18.8
Finance,11/7/2018,42.81,31.14,18.2
Logistics,11/7/2018,52.5,43.39,21.3
IT,11/7/2018,19.46,61.9,18.9
Finance,12/7/2018,44.72,31.5,18.4
Logistics,12/7/2018,51.71,44.18,21.3
IT,12/7/2018,20.21,62.86,18.8
Finance,13/7/2018,44.64,30.12,18.4
Logistics,13/7/2018,53.04,43.72,21.5
IT,13/7/2018,22.29,61.77,19
Finance,14/7/2018,46.41,30.14,18.3
Logistics,14/7/2018,54.76,42.65,21.6
IT,14/7/2018,21.33,61.75,19.3
Finance,15/7/2018,47.24,32.08,18.5
Logistics,15/7/2018,56.76,44.12,21.8
IT,15/7/2018,23.37,61.38,19.5
Finance,16/7/2018,46.33,30.51,18.5
Logistics,16/7/2018,56.67,43.98,21.9
IT,16/7/2018,22.43,60.98,19.6
Finance,17/7/2018,47.09,28.62,18.5
Logistics,17/7/2018,57.74,42.09,21.9
IT,17/7/2018,22.75,60.99,19.8
Finance,18/7/2018,46.48,26.73,18.5
Logistics,18/7/2018,55.99,43.2,22.1
IT,18/7/2018,21.14,62.61,20.1
Finance,19/7/2018,45.11,28.21,18.8
Logistics,19/7/2018,57.1,42.34,22.3
IT,19/7/2018,21.43,64.53,20.4
Finance,20/7/2018,44.11,27.56,19
Logistics,20/7/2018,56.17,42.16,22.6
IT,20/7/2018,22.57,65.27,20.4
Finance,21/7/2018,44.34,26.53,18.9
Logistics,21/7/2018,54.38,43.93,22.7
IT,21/7/2018,20.65,64.88,20.7
Finance,22/7/2018,44.47,26.5,18.9
Logistics,22/7/2018,53.85,43.82,22.8
IT,22/7/2018,21.2,63.58,20.6
Finance,23/7/2018,44.58,27.17,19.2
